year,material,commodity,origin_region,destination_region,flow_kt
1996,tin,scrap,RoW,EU27,740.191
1996,tin,scrap,RoW,RoW,20293.175
1996,zinc,concentrates,China,China,0.0
1996,zinc,concentrates,China,EU27,5448.8180999999995
1996,zinc,concentrates,China,RoW,92635.1487
1996,zinc,concentrates,EU27,China,8.6756
1996,zinc,concentrates,EU27,EU27,1860535.9205
1996,zinc,concentrates,EU27,RoW,220857.8431
1996,zinc,concentrates,RoW,China,287636.9611
1996,zinc,concentrates,RoW,EU27,2733788.1414
1996,zinc,concentrates,RoW,RoW,2915647.7462999998
1996,zinc,refined_metal,China,China,0.0
1996,zinc,refined_metal,China,EU27,3860.4279
1996,zinc,refined_metal,China,RoW,259157.80430000002
1996,zinc,refined_metal,EU27,China,960.7074
1996,zinc,refined_metal,EU27,EU27,931892.6255
1996,zinc,refined_metal,EU27,RoW,494500.53390000004
1996,zinc,refined_metal,RoW,China,14011.0024
1996,zinc,refined_metal,RoW,EU27,294571.8861
1996,zinc,refined_metal,RoW,RoW,1606759.2662
1996,zinc,scrap,China,China,0.0
1996,zinc,scrap,China,EU27,42.5
1996,zinc,scrap,China,RoW,3924.388
1996,zinc,scrap,EU27,China,8277.366000000002
1996,zinc,scrap,EU27,EU27,194821.299
1996,zinc,scrap,EU27,RoW,101595.478
1996,zinc,scrap,RoW,China,12780.3195
1996,zinc,scrap,RoW,EU27,39603.2485
1996,zinc,scrap,RoW,RoW,162013.8915
1997,nickel,concentrates,China,China,0.0
1997,nickel,concentrates,China,EU27,0.0
1997,nickel,concentrates,China,RoW,4053.72325
1997,nickel,concentrates,EU27,China,129.8472
1997,nickel,concentrates,EU27,EU27,2154.8674499999997
1997,nickel,concentrates,EU27,RoW,56641.276549999995
1997,nickel,concentrates,RoW,China,29696.3153
1997,nickel,concentrates,RoW,EU27,246241.3277
1997,nickel,concentrates,RoW,RoW,6097153.2217
1997,nickel,refined_metal,China,China,0.0
1997,nickel,refined_metal,China,EU27,59.652
1997,nickel,refined_metal,China,RoW,6895.286749999999
1997,nickel,refined_metal,EU27,China,359.49379999999996
