mode,year,material,commodity,destination_region,origin_region,share_origin_frac
constrained,1996,nickel,refined_metal,China,China,0.0
constrained,1996,nickel,refined_metal,China,EU27,0.01323491109164483
constrained,1996,nickel,refined_metal,China,RoW,0.9867650889083551
constrained,1996,nickel,refined_metal,EU27,China,0.0003356859576214886
constrained,1996,nickel,refined_metal,EU27,EU27,0.2005451144734241
constrained,1996,nickel,refined_metal,EU27,RoW,0.7991191995689544
constrained,1996,nickel,refined_metal,RoW,China,0.0012618897241959074
constrained,1996,nickel,refined_metal,RoW,EU27,0.0631589338402792
constrained,1996,nickel,refined_metal,RoW,RoW,0.9355791764355248
constrained,1996,nickel,scrap,China,China,0.0
constrained,1996,nickel,scrap,China,EU27,0.005186610217141273
constrained,1996,nickel,scrap,China,RoW,0.9948133897828588
constrained,1996,nickel,scrap,EU27,China,5.83452437400217e-05
constrained,1996,nickel,scrap,EU27,EU27,0.5083362186596369
constrained,1996,nickel,scrap,EU27,RoW,0.4916054360966232
constrained,1996,nickel,scrap,RoW,China,0.0028262759485413163
constrained,1996,nickel,scrap,RoW,EU27,0.1256857972219953
constrained,1996,nickel,scrap,RoW,RoW,0.8714879268294634
constrained,1996,tin,concentrates,China,China,0.0
constrained,1996,tin,concentrates,China,EU27,0.0
constrained,1996,tin,concentrates,China,RoW,1.0
constrained,1996,tin,concentrates,EU27,China,0.006655786519599132
constrained,1996,tin,concentrates,EU27,EU27,0.029961813345215832
constrained,1996,tin,concentrates,EU27,RoW,0.9633824001351851
constrained,1996,tin,concentrates,RoW,China,0.021066441146976565
constrained,1996,tin,concentrates,RoW,EU27,0.05008424824242023
constrained,1996,tin,concentrates,RoW,RoW,0.9288493106106032
constrained,1996,tin,refined_metal,China,China,0.0
constrained,1996,tin,refined_metal,China,EU27,0.003985719213421838
constrained,1996,tin,refined_metal,China,RoW,0.9960142807865782
constrained,1996,tin,refined_metal,EU27,China,0.2311303145446975
constrained,1996,tin,refined_metal,EU27,EU27,0.24463702032842402
constrained,1996,tin,refined_metal,EU27,RoW,0.5242326651268785
constrained,1996,tin,refined_metal,RoW,China,0.15185287044635243
constrained,1996,tin,refined_metal,RoW,EU27,0.02489442418401754
constrained,1996,tin,refined_metal,RoW,RoW,0.8232527053696301
constrained,1996,tin,scrap,China,China,0.0
constrained,1996,tin,scrap,China,EU27,0.087196544693643
constrained,1996,tin,scrap,China,RoW,0.912803455306357
constrained,1996,tin,scrap,EU27,China,0.0006426883741179729
constrained,1996,tin,scrap,EU27,EU27,0.8288222834157098
constrained,1996,tin,scrap,EU27,RoW,0.17053502821017216
constrained,1996,tin,scrap,RoW,China,0.003160451094547451
constrained,1996,tin,scrap,RoW,EU27,0.031939111831690764
constrained,1996,tin,scrap,RoW,RoW,0.9649004370737617
constrained,1996,zinc,concentrates,China,China,0.0
constrained,1996,zinc,concentrates,China,EU27,0.00011762767416185798
constrained,1996,zinc,concentrates,China,RoW,0.9998823723258381
constrained,1996,zinc,concentrates,EU27,China,0.001874316383315241
constrained,1996,zinc,concentrates,EU27,EU27,0.3633532738402128
constrained,1996,zinc,concentrates,EU27,RoW,0.6347724097764719
constrained,1996,zinc,concentrates,RoW,China,0.027888890288617862
constrained,1996,zinc,concentrates,RoW,EU27,0.09439834171614703
constrained,1996,zinc,concentrates,RoW,RoW,0.8777127679952351
constrained,1996,zinc,refined_metal,China,China,0.0
constrained,1996,zinc,refined_metal,China,EU27,0.048473504455039826
constrained,1996,zinc,refined_metal,China,RoW,0.9515264955449602
constrained,1996,zinc,refined_metal,EU27,China,0.005462076837649266
constrained,1996,zinc,refined_metal,EU27,EU27,0.7462115988196073
constrained,1996,zinc,refined_metal,EU27,RoW,0.2483263243427434
constrained,1996,zinc,refined_metal,RoW,China,0.11059518135040802
constrained,1996,zinc,refined_metal,RoW,EU27,0.20453676893937275
constrained,1996,zinc,refined_metal,RoW,RoW,0.6848680497102192
constrained,1996,zinc,scrap,China,China,0.0
constrained,1996,zinc,scrap,China,EU27,0.3755560851060211
constrained,1996,zinc,scrap,China,RoW,0.624443914893979
constrained,1996,zinc,scrap,EU27,China,0.0001367746222337332
constrained,1996,zinc,scrap,EU27,EU27,0.8344554974480353
constrained,1996,zinc,scrap,EU27,RoW,0.16540772792973102
constrained,1996,zinc,scrap,RoW,China,0.014713344366331815
constrained,1996,zinc,scrap,RoW,EU27,0.3713575130997777
constrained,1996,zinc,scrap,RoW,RoW,0.6139291425338904
constrained,1997,nickel,concentrates,China,China,0.0
constrained,1997,nickel,concentrates,China,EU27,0.009355778549185168
constrained,1997,nickel,concentrates,China,RoW,0.9906442214508149
constrained,1997,nickel,concentrates,EU27,China,0.0
constrained,1997,nickel,concentrates,EU27,EU27,0.030237562210463566
constrained,1997,nickel,concentrates,EU27,RoW,0.9697624377895364
constrained,1997,nickel,concentrates,RoW,China,0.00037422797541568017
constrained,1997,nickel,concentrates,RoW,EU27,0.008599321555918202
constrained,1997,nickel,concentrates,RoW,RoW,0.9910264504686661
constrained,1997,nickel,refined_metal,China,China,0.0
constrained,1997,nickel,refined_metal,China,EU27,0.02249129723179294
constrained,1997,nickel,refined_metal,China,RoW,0.977508702768207
constrained,1997,nickel,refined_metal,EU27,China,0.0020012746355868565
constrained,1997,nickel,refined_metal,EU27,EU27,0.21918898694996627
constrained,1997,nickel,refined_metal,EU27,RoW,0.7788097384144469
constrained,1997,nickel,refined_metal,RoW,China,0.011872417789193023
constrained,1997,nickel,refined_metal,RoW,EU27,0.06202402287130585
constrained,1997,nickel,refined_metal,RoW,RoW,0.9261035593395011
constrained,1997,nickel,scrap,China,China,0.0
constrained,1997,nickel,scrap,China,EU27,0.003937979236865761
constrained,1997,nickel,scrap,China,RoW,0.9960620207631342
constrained,1997,nickel,scrap,EU27,China,0.0007854992344029991
constrained,1997,nickel,scrap,EU27,EU27,0.4041325614019855
constrained,1997,nickel,scrap,EU27,RoW,0.5950819393636114
constrained,1997,nickel,scrap,RoW,China,0.0068279093971168716
constrained,1997,nickel,scrap,RoW,EU27,0.1172023512437637
constrained,1997,nickel,scrap,RoW,RoW,0.8759697393591194
constrained,1997,tin,concentrates,China,China,0.0
constrained,1997,tin,concentrates,China,EU27,0.0
constrained,1997,tin,concentrates,China,RoW,1.0
constrained,1997,tin,concentrates,EU27,China,0.003162843923014826
constrained,1997,tin,concentrates,EU27,EU27,0.04661772062553906
constrained,1997,tin,concentrates,EU27,RoW,0.950219435451446
constrained,1997,tin,concentrates,RoW,China,0.033240572204405155
constrained,1997,tin,concentrates,RoW,EU27,0.09298428523257825
constrained,1997,tin,concentrates,RoW,RoW,0.8737751425630166
constrained,1997,tin,refined_metal,China,China,0.0
constrained,1997,tin,refined_metal,China,EU27,0.005368047574261444
constrained,1997,tin,refined_metal,China,RoW,0.9946319524257385
constrained,1997,tin,refined_metal,EU27,China,0.22050919400325805
constrained,1997,tin,refined_metal,EU27,EU27,0.23607514771945126
constrained,1997,tin,refined_metal,EU27,RoW,0.5434156582772907
constrained,1997,tin,refined_metal,RoW,China,0.13238023855721837
constrained,1997,tin,refined_metal,RoW,EU27,0.02926363766330569
constrained,1997,tin,refined_metal,RoW,RoW,0.838356123779476
constrained,1997,tin,scrap,China,China,0.0
constrained,1997,tin,scrap,China,EU27,0.0672318518022067
constrained,1997,tin,scrap,China,RoW,0.9327681481977933
constrained,1997,tin,scrap,EU27,China,0.0010499792782506525
constrained,1997,tin,scrap,EU27,EU27,0.7257133362305759
constrained,1997,tin,scrap,EU27,RoW,0.27323668449117344
constrained,1997,tin,scrap,RoW,China,0.006814974719363246
constrained,1997,tin,scrap,RoW,EU27,0.03279072432512603
constrained,1997,tin,scrap,RoW,RoW,0.9603943009555107
constrained,1997,zinc,concentrates,China,China,0.0
constrained,1997,zinc,concentrates,China,EU27,0.00010941201945124857
constrained,1997,zinc,concentrates,China,RoW,0.9998905879805488
constrained,1997,zinc,concentrates,EU27,China,0.007771893179855892
constrained,1997,zinc,concentrates,EU27,EU27,0.40390368620773615
constrained,1997,zinc,concentrates,EU27,RoW,0.588324420612408
constrained,1997,zinc,concentrates,RoW,China,0.07827307717163513
constrained,1997,zinc,concentrates,RoW,EU27,0.09327331721032843
constrained,1997,zinc,concentrates,RoW,RoW,0.8284536056180364
constrained,1997,zinc,refined_metal,China,China,0.0
constrained,1997,zinc,refined_metal,China,EU27,0.04670359474331978
constrained,1997,zinc,refined_metal,China,RoW,0.9532964052566802
constrained,1997,zinc,refined_metal,EU27,China,0.008750566072886675
constrained,1997,zinc,refined_metal,EU27,EU27,0.7332639880499789
constrained,1997,zinc,refined_metal,EU27,RoW,0.25798544587713446
constrained,1997,zinc,refined_metal,RoW,China,0.17316444525207883
constrained,1997,zinc,refined_metal,RoW,EU27,0.18763231790260723
constrained,1997,zinc,refined_metal,RoW,RoW,0.6392032368453139
constrained,1997,zinc,scrap,China,China,0.0
constrained,1997,zinc,scrap,China,EU27,0.4180424814088685
constrained,1997,zinc,scrap,China,RoW,0.5819575185911315
constrained,1997,zinc,scrap,EU27,China,0.00012341570425559553
constrained,1997,zinc,scrap,EU27,EU27,0.856809466046872
constrained,1997,zinc,scrap,EU27,RoW,0.14306711824887253
constrained,1997,zinc,scrap,RoW,China,0.006820978052727532
constrained,1997,zinc,scrap,RoW,EU27,0.43661351770458867
constrained,1997,zinc,scrap,RoW,RoW,0.5565655042426839
constrained,1998,nickel,concentrates,China,China,0.0
constrained,1998,nickel,concentrates,China,EU27,0.01064936796332693
constrained,1998,nickel,concentrates,China,RoW,0.9893506320366732
constrained,1998,nickel,concentrates,EU27,China,0.0
constrained,1998,nickel,concentrates,EU27,EU27,0.01330330817434326
constrained,1998,nickel,concentrates,EU27,RoW,0.9866966918256567
constrained,1998,nickel,concentrates,RoW,China,1.1535160670384953e-05
constrained,1998,nickel,concentrates,RoW,EU27,0.011313493201010614
