year,material,commodity,region,supply_avail_kt,import_need_kt,export_cap_raw_kt,exportable_kt
1997,tin,refined_metal,EU27,26181.928999999996,81281.10800000001,25650.761999999995,25650.761999999995
1997,tin,refined_metal,RoW,252827.771,236116.715,244108.2465,244108.2465
1997,tin,scrap,China,144.159,435.343,111.15,111.15
1997,tin,scrap,EU27,4228.079,5117.234,5321.036999999999,4228.079
1997,tin,scrap,RoW,16706.686999999998,15526.347999999998,26614.631999999998,16706.686999999998
1997,zinc,concentrates,China,410803.8594,218417.35629999998,310091.2811,310091.2811
1997,zinc,concentrates,EU27,2375054.6703,4945246.310699999,2228228.55475,2228228.55475
1997,zinc,concentrates,RoW,5871818.487199999,3494013.3499,5904445.668,5871818.487199999
1997,zinc,refined_metal,China,639402.0161,11605.9337,462915.85140000004,462915.85140000004
1997,zinc,refined_metal,EU27,1451882.9847000001,1331359.4628,1439618.42575,1439618.42575
1997,zinc,refined_metal,RoW,2108953.8018,2857273.4061,2012147.97825,2012147.97825
1997,zinc,scrap,China,2068.5385,22152.106,7518.03275,2068.5385
1997,zinc,scrap,EU27,441853.051,311038.08749999997,373273.597,373273.597
1997,zinc,scrap,RoW,217961.43199999997,328692.828,232126.91624999998,217961.43199999997
1998,nickel,concentrates,China,66.50925,2000.1354999999999,1375.7275,66.50925
1998,nickel,concentrates,EU27,74474.6297,266161.97079999995,68563.4794625,68563.4794625
1998,nickel,concentrates,RoW,5946525.1623,5752904.194949999,6164444.9350625,5946525.1623
1998,nickel,refined_metal,China,12385.58475,8219.8315,8789.25525,8789.25525
1998,nickel,refined_metal,EU27,113649.22129999999,355626.2652,109800.796925,109800.796925
1998,nickel,refined_metal,RoW,798053.8387000001,560242.54805,776778.782725,776778.782725
1998,nickel,scrap,China,757.6320000000001,346.877,815.3950000000001,757.6320000000001
1998,nickel,scrap,EU27,26524.657,37226.731,35368.4675,26524.657
1998,nickel,scrap,RoW,114644.84,104353.52100000001,131609.79725,114644.84
1998,tin,concentrates,China,515.812,623.615,3648.1544999999996,515.812
1998,tin,concentrates,EU27,15863.24,11041.239000000001,13227.88325,13227.88325
1998,tin,concentrates,RoW,58004.052,62718.25,184546.01174999998,58004.052
1998,tin,refined_metal,China,69336.04800000001,9472.908,67433.78775,67433.78775
1998,tin,refined_metal,EU27,26486.254,87081.07,26258.01025,26258.01025
1998,tin,refined_metal,RoW,228775.232,228043.55599999998,239748.48425,228775.232
1998,tin,scrap,China,474.154,894.847,226.65775,226.65775
1998,tin,scrap,EU27,5052.1990000000005,7559.438,5220.493750000001,5052.1990000000005
1998,tin,scrap,RoW,20823.293,17895.361,24239.559999999998,20823.293
1998,zinc,concentrates,China,227370.79849999998,61479.7962,273229.063725,227370.79849999998
1998,zinc,concentrates,EU27,1704360.7763000003,4383964.4101,2154815.496975,1704360.7763000003
1998,zinc,concentrates,RoW,6128319.5542,3614606.9227,5984884.52515,5984884.52515
1998,zinc,refined_metal,China,529000.3495,13442.371799999999,556600.76615,529000.3495
1998,zinc,refined_metal,EU27,1339714.6472,1618501.9888999998,1433486.146275,1339714.6472
1998,zinc,refined_metal,RoW,2340355.7383,2577126.3743000003,2166804.285925,2166804.285925
1998,zinc,scrap,China,5977.3859999999995,38658.539,7250.333874999999,5977.3859999999995
1998,zinc,scrap,EU27,329577.3555,268167.756,357646.279375,329577.3555
1998,zinc,scrap,RoW,227329.3355,256057.782,232070.10174999997,227329.3355
1999,nickel,concentrates,China,514.6943,315.187,514.6943,514.6943
1999,nickel,concentrates,EU27,18385.2587,276382.976,66593.09605000001,18385.2587
1999,nickel,concentrates,RoW,7019016.05205,6761217.84205,6373090.8647,6373090.8647
1999,nickel,refined_metal,China,18671.7517,5025.353,12385.58475,12385.58475
1999,nickel,refined_metal,EU27,131717.7583,374183.801,113649.22129999999,113649.22129999999
1999,nickel,refined_metal,RoW,806310.87595,577491.2319499999,798053.8387000001,798053.8387000001
1999,nickel,scrap,China,1202.378,966.6139999999999,870.778,870.778
1999,nickel,scrap,EU27,32181.014000000003,31262.601000000002,32181.014000000003,32181.014000000003
1999,nickel,scrap,RoW,130042.89100000002,131197.06800000003,130042.89100000002,130042.89100000002
1999,tin,concentrates,China,3438.533,1226.267,3438.533,3438.533
1999,tin,concentrates,EU27,6220.438,1666.384,12349.431,6220.438
1999,tin,concentrates,RoW,100963.34599999999,107729.666,151820.45399999997,100963.34599999999
1999,tin,refined_metal,China,72252.24100000001,10040.185000000001,69336.04800000001,69336.04800000001
1999,tin,refined_metal,EU27,33742.447,75246.263,26486.254,26486.254
1999,tin,refined_metal,RoW,226290.17700000003,246998.41700000002,235388.722,226290.17700000003
1999,tin,scrap,China,704.479,884.518,474.154,474.154
1999,tin,scrap,EU27,5176.123,6777.237999999999,5176.123,5176.123
1999,tin,scrap,RoW,89197.456,87416.302,31364.775999999998,31364.775999999998
1999,zinc,concentrates,China,248678.30109999998,50825.7596,248678.30109999998,248678.30109999998
1999,zinc,concentrates,EU27,1653898.4837000002,4230823.926100001,2081402.4392,1653898.4837000002
1999,zinc,concentrates,RoW,6377370.5579,3998297.657,6128319.5542,6128319.5542
1999,zinc,refined_metal,China,565709.3274000001,17745.2239,565709.3274000001,565709.3274000001
1999,zinc,refined_metal,EU27,1340389.5193,1447098.4279,1427353.8668,1340389.5193
1999,zinc,refined_metal,RoW,5402011.513599999,5843266.7085,2340355.7383,2340355.7383
1999,zinc,scrap,China,10747.789499999999,40828.42049999999,10747.789499999999,10747.789499999999
1999,zinc,scrap,EU27,348172.19,262448.874,348172.19,348172.19
1999,zinc,scrap,RoW,372556.7605,428199.44550000003,246292.4005,246292.4005
2000,nickel,concentrates,China,222.27550000000002,2382.16485,514.6943,222.27550000000002
2000,nickel,concentrates,EU27,32764.28155,260070.40005,58925.9912,32764.28155
2000,nickel,concentrates,RoW,8089310.270449999,7859844.262599999,7019016.05205,7019016.05205
2000,nickel,refined_metal,China,12227.193500000001,12974.30015,12385.58475,12227.193500000001
2000,nickel,refined_metal,EU27,123479.30945000002,408013.99595,123479.30945000002,123479.30945000002
2000,nickel,refined_metal,RoW,938911.05755,653629.2644000001,806310.87595,806310.87595
2000,nickel,scrap,China,1620.1960000000001,464.663,1202.378,1202.378
2000,nickel,scrap,EU27,50784.236999999994,51948.436,32181.014000000003,32181.014000000003
2000,nickel,scrap,RoW,85637.914,85629.248,130042.89100000002,85637.914
2000,tin,concentrates,China,3052.376,2049.721,3438.533,3052.376
2000,tin,concentrates,EU27,15817.754,1602.913,15817.754,15817.754
2000,tin,concentrates,RoW,67426.52,82644.016,100963.34599999999,67426.52
2000,tin,refined_metal,China,86814.44099999999,11846.654,72252.24100000001,72252.24100000001
2000,tin,refined_metal,EU27,23134.928,78997.784,26486.254,23134.928
2000,tin,refined_metal,RoW,235995.948,255100.87900000002,235995.948,235995.948
2000,tin,scrap,China,1402.511,433.76,704.479,704.479
2000,tin,scrap,EU27,7994.767,10141.364,5725.378,5725.378
2000,tin,scrap,RoW,29326.028000000002,28148.182,29326.028000000002,29326.028000000002
2000,zinc,concentrates,China,178046.5848,97742.2043,248678.30109999998,178046.5848
2000,zinc,concentrates,EU27,1697402.7362000002,4290686.7062,2081402.4392,1697402.7362000002
2000,zinc,concentrates,RoW,6452980.120200001,3940000.5307,6377370.5579,6377370.5579
2000,zinc,refined_metal,China,692966.4996999999,28829.2787,639402.0161,639402.0161
2000,zinc,refined_metal,EU27,1341009.2337999998,1585478.1842999998,1427353.8668,1341009.2337999998
2000,zinc,refined_metal,RoW,2393949.2007999998,2813617.4713,2393949.2007999998,2393949.2007999998
2000,zinc,scrap,China,10731.4665,65929.68299999999,10731.4665,10731.4665
2000,zinc,scrap,EU27,327271.963,257836.19449999998,348172.19,327271.963
2000,zinc,scrap,RoW,262735.333,276972.885,262735.333,262735.333
2001,nickel,concentrates,China,283.07705,7677.8194,514.6943,283.07705
2001,nickel,concentrates,EU27,43183.0482,314321.54215000005,58925.9912,43183.0482
2001,nickel,concentrates,RoW,7574007.5704499995,7295474.33415,7574007.5704499995,7574007.5704499995
2001,nickel,refined_metal,China,4297.11895,23617.6086,12385.58475,4297.11895
2001,nickel,refined_metal,EU27,146359.6918,502262.00584999996,131717.7583,131717.7583
2001,nickel,refined_metal,RoW,995938.1115499999,620715.30785,938911.05755,938911.05755
2001,nickel,scrap,China,388.696,1010.948,1202.378,388.696
2001,nickel,scrap,EU27,40038.748999999996,42386.356,40038.748999999996,40038.748999999996
2001,nickel,scrap,RoW,78631.629,75661.76999999999,130042.89100000002,78631.629
2001,tin,concentrates,China,8120.5599999999995,2965.643,3438.533,3438.533
2001,tin,concentrates,EU27,4832.979,2403.817,15817.754,4832.979
2001,tin,concentrates,RoW,108914.452,116498.531,100963.34599999999,100963.34599999999
