year,material,commodity,origin_region,destination_region,flow_kt
1996,tin,scrap,China,RoW,65.90583006924972
1996,tin,scrap,EU27,China,72.47096661886997
1996,tin,scrap,EU27,EU27,4784.70070053
1996,tin,scrap,EU27,RoW,666.0358328511293
1996,tin,scrap,RoW,China,758.6510333811301
1996,tin,scrap,RoW,EU27,984.480129539249
1996,tin,scrap,RoW,RoW,20121.35683707962
1996,zinc,concentrates,China,China,0.0
1996,zinc,concentrates,China,EU27,8026.815028622618
1996,zinc,concentrates,China,RoW,90057.1517713774
1996,zinc,concentrates,EU27,China,23.015563412857972
1996,zinc,concentrates,EU27,EU27,1556071.0801668921
1996,zinc,concentrates,EU27,RoW,304825.530844695
1996,zinc,concentrates,RoW,China,195641.51301672473
1996,zinc,concentrates,RoW,EU27,2718431.5112993484
1996,zinc,concentrates,RoW,RoW,2834258.0554839275
1996,zinc,refined_metal,China,China,0.0
1996,zinc,refined_metal,China,EU27,6720.129354825183
1996,zinc,refined_metal,China,RoW,256298.10284517484
1996,zinc,refined_metal,EU27,China,725.7312416898634
1996,zinc,refined_metal,EU27,EU27,918082.7401719316
1996,zinc,refined_metal,EU27,RoW,474002.4402613787
1996,zinc,refined_metal,RoW,China,14245.978558310135
1996,zinc,refined_metal,RoW,EU27,305522.0699732431
1996,zinc,refined_metal,RoW,RoW,1587143.1259184466
1996,zinc,scrap,China,China,0.0
1996,zinc,scrap,China,EU27,30.571696283792715
1996,zinc,scrap,China,RoW,3936.316303716207
1996,zinc,scrap,EU27,China,7908.341927773827
1996,zinc,scrap,EU27,EU27,186516.4722350862
1996,zinc,scrap,EU27,RoW,99350.670855439
1996,zinc,scrap,RoW,China,13149.343572226175
1996,zinc,scrap,RoW,EU27,36971.73305014459
1996,zinc,scrap,RoW,RoW,164246.77034084479
1997,nickel,concentrates,China,China,0.0
1997,nickel,concentrates,China,EU27,0.0
1997,nickel,concentrates,China,RoW,2268.39275
1997,nickel,concentrates,EU27,China,118.45142647163347
1997,nickel,concentrates,EU27,EU27,6682.525200002064
1997,nickel,concentrates,EU27,RoW,52125.0145735263
1997,nickel,concentrates,RoW,China,12542.325637554735
