variant,block,key,year,value,material,region,before
r79_recovery_loops_high,mfa_parameters,collection_rate,2020,0.9008874995045274,,,
r79_recovery_loops_high,mfa_parameters,collection_rate,2025,0.9306212496531692,,,
r79_recovery_loops_high,mfa_parameters,collection_rate,2035,0.9702662498513582,,,
r79_recovery_loops_high,mfa_parameters,collection_rate,2050,1.0,,,
r79_recovery_loops_high,mfa_parameters,collection_rate,2100,1.0,,,
r79_recovery_loops_high,mfa_parameters,collection_rate,2020,0.9008874995045274,,China,
r79_recovery_loops_high,mfa_parameters,collection_rate,2025,0.9306212496531692,,China,
r79_recovery_loops_high,mfa_parameters,collection_rate,2035,0.9702662498513582,,China,
r79_recovery_loops_high,mfa_parameters,collection_rate,2050,1.0,,China,
r79_recovery_loops_high,mfa_parameters,collection_rate,2100,1.0,,China,
r79_recovery_loops_high,mfa_parameters,collection_rate,2020,0.9008874995045274,,EU27,
r79_recovery_loops_high,mfa_parameters,collection_rate,2025,0.9306212496531692,,EU27,
r79_recovery_loops_high,mfa_parameters,collection_rate,2035,0.9702662498513582,,EU27,
r79_recovery_loops_high,mfa_parameters,collection_rate,2050,1.0,,EU27,
r79_recovery_loops_high,mfa_parameters,collection_rate,2100,1.0,,EU27,
r79_recovery_loops_high,mfa_parameters,collection_rate,2020,0.9008874995045274,,RoW,
r79_recovery_loops_high,mfa_parameters,collection_rate,2025,0.9246212496531692,,RoW,
r79_recovery_loops_high,mfa_parameters,collection_rate,2035,0.9562662498513582,,RoW,
r79_recovery_loops_high,mfa_parameters,collection_rate,2050,0.98,,RoW,
r79_recovery_loops_high,mfa_parameters,collection_rate,2100,0.98,,RoW,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2020,0.99,,China,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2025,0.993,,China,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2035,0.997,,China,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2050,1.0,,China,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2100,1.0,,China,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2020,0.99,,EU27,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2025,0.993,,EU27,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2035,0.997,,EU27,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2050,1.0,,EU27,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2100,1.0,,EU27,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2020,0.8606659655124623,,RoW,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2025,0.8994661758587237,,RoW,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2035,0.9511997896537387,,RoW,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2050,0.99,,RoW,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2100,0.99,,RoW,
r79_recovery_loops_high,sd_parameters,bottleneck_collection_sensitivity,2020,0.08,,,
r79_recovery_loops_high,sd_parameters,bottleneck_collection_sensitivity,2025,0.098,,,
r79_recovery_loops_high,sd_parameters,bottleneck_collection_sensitivity,2035,0.122,,,
r79_recovery_loops_high,sd_parameters,bottleneck_collection_sensitivity,2050,0.14,,,
r79_recovery_loops_high,sd_parameters,bottleneck_collection_sensitivity,2100,0.14,,,
r79_recovery_loops_high,sd_parameters,collection_price_response_gain,2020,0.22,,,
r79_recovery_loops_high,sd_parameters,collection_price_response_gain,2025,0.23800000000000002,,,
r79_recovery_loops_high,sd_parameters,collection_price_response_gain,2035,0.262,,,
r79_recovery_loops_high,sd_parameters,collection_price_response_gain,2050,0.28,,,
r79_recovery_loops_high,sd_parameters,collection_price_response_gain,2100,0.28,,,
r79_recovery_loops_high,strategy,disposal_rate,2025,0.30694,,,
r79_recovery_loops_high,strategy,disposal_rate,2035,0.17726000000000003,,,
r79_recovery_loops_high,strategy,disposal_rate,2050,0.08,,,
r79_recovery_loops_high,strategy,disposal_rate,2100,0.08,,,
r79_recovery_loops_high,strategy,disposal_rate,2025,0.30244,,China,
r79_recovery_loops_high,strategy,disposal_rate,2035,0.16676000000000002,,China,
r79_recovery_loops_high,strategy,disposal_rate,2050,0.065,,China,
r79_recovery_loops_high,strategy,disposal_rate,2100,0.065,,China,
r79_recovery_loops_high,strategy,disposal_rate,2025,0.30244,,EU27,
r79_recovery_loops_high,strategy,disposal_rate,2035,0.16676000000000002,,EU27,
r79_recovery_loops_high,strategy,disposal_rate,2050,0.065,,EU27,
r79_recovery_loops_high,strategy,disposal_rate,2100,0.065,,EU27,
r79_recovery_loops_high,strategy,disposal_rate,2025,0.32044,,RoW,
r79_recovery_loops_high,strategy,disposal_rate,2035,0.20876,,RoW,
r79_recovery_loops_high,strategy,disposal_rate,2050,0.125,,RoW,
r79_recovery_loops_high,strategy,disposal_rate,2100,0.125,,RoW,
r79_recovery_loops_high,strategy,new_scrap_to_secondary_share,2020,0.85,,,
r79_recovery_loops_high,strategy,new_scrap_to_secondary_share,2025,0.895,,,
r79_recovery_loops_high,strategy,new_scrap_to_secondary_share,2035,0.955,,,
r79_recovery_loops_high,strategy,new_scrap_to_secondary_share,2050,1.0,,,
r79_recovery_loops_high,strategy,new_scrap_to_secondary_share,2100,1.0,,,
r79_recovery_loops_high,strategy,new_scrap_to_secondary_share,2020,0.85,,China,
r79_recovery_loops_high,strategy,new_scrap_to_secondary_share,2025,0.895,,China,
r79_recovery_loops_high,strategy,new_scrap_to_secondary_share,2035,0.955,,China,
r79_recovery_loops_high,strategy,new_scrap_to_secondary_share,2050,1.0,,China,
