variant,block,key,year,value,material,region,before
r36_lifetime_reman_high,sd_parameters,bottleneck_collection_sensitivity,2020,0.08,,,
r36_lifetime_reman_high,sd_parameters,bottleneck_collection_sensitivity,2025,0.065,,,
r36_lifetime_reman_high,sd_parameters,bottleneck_collection_sensitivity,2035,0.045000000000000005,,,
r36_lifetime_reman_high,sd_parameters,bottleneck_collection_sensitivity,2050,0.03,,,
r36_lifetime_reman_high,sd_parameters,bottleneck_collection_sensitivity,2100,0.03,,,
r36_lifetime_reman_high,sd_parameters,bottleneck_scarcity_gain,2020,0.15,,,
r36_lifetime_reman_high,sd_parameters,bottleneck_scarcity_gain,2025,0.126,,,
r36_lifetime_reman_high,sd_parameters,bottleneck_scarcity_gain,2035,0.094,,,
r36_lifetime_reman_high,sd_parameters,bottleneck_scarcity_gain,2050,0.07,,,
r36_lifetime_reman_high,sd_parameters,bottleneck_scarcity_gain,2100,0.07,,,
r36_lifetime_reman_high,sd_parameters,capacity_expansion_gain,2020,0.26,,,
r36_lifetime_reman_high,sd_parameters,capacity_expansion_gain,2025,0.293,,,
r36_lifetime_reman_high,sd_parameters,capacity_expansion_gain,2035,0.33699999999999997,,,
r36_lifetime_reman_high,sd_parameters,capacity_expansion_gain,2050,0.37,,,
r36_lifetime_reman_high,sd_parameters,capacity_expansion_gain,2100,0.37,,,
r36_lifetime_reman_high,strategy,disposal_rate,2025,0.30094,,,
r36_lifetime_reman_high,strategy,disposal_rate,2035,0.16326000000000002,,,
r36_lifetime_reman_high,strategy,disposal_rate,2050,0.06,,,
r36_lifetime_reman_high,strategy,disposal_rate,2100,0.06,,,
r36_lifetime_reman_high,strategy,disposal_rate,2025,0.29794,,EU27,
r36_lifetime_reman_high,strategy,disposal_rate,2035,0.15626,,EU27,
r36_lifetime_reman_high,strategy,disposal_rate,2050,0.05,,EU27,
r36_lifetime_reman_high,strategy,disposal_rate,2100,0.05,,EU27,
r36_lifetime_reman_high,strategy,disposal_rate,2025,0.30094,,RoW,
r36_lifetime_reman_high,strategy,disposal_rate,2035,0.16326000000000002,,RoW,
r36_lifetime_reman_high,strategy,disposal_rate,2050,0.06,,RoW,
r36_lifetime_reman_high,strategy,disposal_rate,2100,0.06,,RoW,
r36_lifetime_reman_high,strategy,lifetime_multiplier,2020,1.1526680751302085,,,
r36_lifetime_reman_high,strategy,lifetime_multiplier,2025,1.226867652591146,,,
r36_lifetime_reman_high,strategy,lifetime_multiplier,2035,1.3258004225390625,,,
r36_lifetime_reman_high,strategy,lifetime_multiplier,2050,1.4,,,
r36_lifetime_reman_high,strategy,lifetime_multiplier,2100,1.4,,,
r36_lifetime_reman_high,strategy,lifetime_multiplier,2020,1.1526680751302085,,EU27,
r36_lifetime_reman_high,strategy,lifetime_multiplier,2025,1.2358676525911458,,EU27,
r36_lifetime_reman_high,strategy,lifetime_multiplier,2035,1.3468004225390624,,EU27,
