variant,block,key,year,value,material,region,before
r36_lifetime_reman_high,strategy,lifetime_multiplier,2050,1.43,,EU27,
r36_lifetime_reman_high,strategy,lifetime_multiplier,2100,1.43,,EU27,
r36_lifetime_reman_high,strategy,lifetime_multiplier,2020,1.1526680751302085,,RoW,
r36_lifetime_reman_high,strategy,lifetime_multiplier,2025,1.217867652591146,,RoW,
r36_lifetime_reman_high,strategy,lifetime_multiplier,2035,1.3048004225390626,,RoW,
r36_lifetime_reman_high,strategy,lifetime_multiplier,2050,1.37,,RoW,
r36_lifetime_reman_high,strategy,lifetime_multiplier,2100,1.37,,RoW,
r36_lifetime_reman_high,strategy,recycling_rate,2025,0.57106,,,
r36_lifetime_reman_high,strategy,recycling_rate,2035,0.56474,,,
r36_lifetime_reman_high,strategy,recycling_rate,2050,0.56,,,
r36_lifetime_reman_high,strategy,recycling_rate,2100,0.56,,,
r36_lifetime_reman_high,strategy,recycling_rate,2025,0.56506,,EU27,
r36_lifetime_reman_high,strategy,recycling_rate,2035,0.55074,,EU27,
r36_lifetime_reman_high,strategy,recycling_rate,2050,0.54,,EU27,
r36_lifetime_reman_high,strategy,recycling_rate,2100,0.54,,EU27,
r36_lifetime_reman_high,strategy,recycling_rate,2025,0.58306,,RoW,
r36_lifetime_reman_high,strategy,recycling_rate,2035,0.5927399999999999,,RoW,
r36_lifetime_reman_high,strategy,recycling_rate,2050,0.6,,RoW,
r36_lifetime_reman_high,strategy,recycling_rate,2100,0.6,,RoW,
r36_lifetime_reman_high,strategy,reman_yield,2020,0.8352044626291464,,,
r36_lifetime_reman_high,strategy,reman_yield,2025,0.8546431238404024,,,
r36_lifetime_reman_high,strategy,reman_yield,2035,0.8805613387887439,,,
r36_lifetime_reman_high,strategy,reman_yield,2050,0.9,,,
r36_lifetime_reman_high,strategy,reman_yield,2100,0.9,,,
r36_lifetime_reman_high,strategy,reman_yield,2020,0.8352044626291464,,EU27,
r36_lifetime_reman_high,strategy,reman_yield,2025,0.8606431238404024,,EU27,
r36_lifetime_reman_high,strategy,reman_yield,2035,0.8945613387887439,,EU27,
r36_lifetime_reman_high,strategy,reman_yield,2050,0.92,,EU27,
r36_lifetime_reman_high,strategy,reman_yield,2100,0.92,,EU27,
r36_lifetime_reman_high,strategy,reman_yield,2020,0.8352044626291464,,RoW,
r36_lifetime_reman_high,strategy,reman_yield,2025,0.8486431238404024,,RoW,
r36_lifetime_reman_high,strategy,reman_yield,2035,0.8665613387887439,,RoW,
r36_lifetime_reman_high,strategy,reman_yield,2050,0.88,,RoW,
r36_lifetime_reman_high,strategy,reman_yield,2100,0.88,,RoW,
r36_lifetime_reman_high,strategy,remanufacturing_rate,2025,0.128,,,
r36_lifetime_reman_high,strategy,remanufacturing_rate,2035,0.272,,,
r36_lifetime_reman_high,strategy,remanufacturing_rate,2050,0.38,,,
r36_lifetime_reman_high,strategy,remanufacturing_rate,2100,0.38,,,
r36_lifetime_reman_high,strategy,remanufacturing_rate,2025,0.13699999999999998,,EU27,
r36_lifetime_reman_high,strategy,remanufacturing_rate,2035,0.293,,EU27,
r36_lifetime_reman_high,strategy,remanufacturing_rate,2050,0.41,,EU27,
r36_lifetime_reman_high,strategy,remanufacturing_rate,2100,0.41,,EU27,
r36_lifetime_reman_high,strategy,remanufacturing_rate,2025,0.116,,RoW,
r36_lifetime_reman_high,strategy,remanufacturing_rate,2035,0.24399999999999997,,RoW,
r36_lifetime_reman_high,strategy,remanufacturing_rate,2050,0.34,,RoW,
r36_lifetime_reman_high,strategy,remanufacturing_rate,2100,0.34,,RoW,
r36_lifetime_reman_low,sd_parameters,bottleneck_collection_sensitivity,2020,0.08,,,
r36_lifetime_reman_low,sd_parameters,bottleneck_collection_sensitivity,2025,0.077,,,
r36_lifetime_reman_low,sd_parameters,bottleneck_collection_sensitivity,2035,0.07300000000000001,,,
r36_lifetime_reman_low,sd_parameters,bottleneck_collection_sensitivity,2050,0.07,,,
r36_lifetime_reman_low,sd_parameters,bottleneck_collection_sensitivity,2100,0.07,,,
r36_lifetime_reman_low,sd_parameters,bottleneck_scarcity_gain,2020,0.15,,,
r36_lifetime_reman_low,sd_parameters,bottleneck_scarcity_gain,2025,0.144,,,
r36_lifetime_reman_low,sd_parameters,bottleneck_scarcity_gain,2035,0.136,,,
r36_lifetime_reman_low,sd_parameters,bottleneck_scarcity_gain,2050,0.13,,,
r36_lifetime_reman_low,sd_parameters,bottleneck_scarcity_gain,2100,0.13,,,
r36_lifetime_reman_low,sd_parameters,capacity_expansion_gain,2020,0.26,,,
r36_lifetime_reman_low,sd_parameters,capacity_expansion_gain,2025,0.269,,,
r36_lifetime_reman_low,sd_parameters,capacity_expansion_gain,2035,0.28099999999999997,,,
r36_lifetime_reman_low,sd_parameters,capacity_expansion_gain,2050,0.29,,,
r36_lifetime_reman_low,sd_parameters,capacity_expansion_gain,2100,0.29,,,
r36_lifetime_reman_low,strategy,disposal_rate,2025,0.31294,,,
r36_lifetime_reman_low,strategy,disposal_rate,2035,0.19125999999999999,,,
r36_lifetime_reman_low,strategy,disposal_rate,2050,0.1,,,
r36_lifetime_reman_low,strategy,disposal_rate,2100,0.1,,,
r36_lifetime_reman_low,strategy,lifetime_multiplier,2020,1.1526680751302085,,,
r36_lifetime_reman_low,strategy,lifetime_multiplier,2025,1.1608676525911459,,,
r36_lifetime_reman_low,strategy,lifetime_multiplier,2035,1.1718004225390626,,,
r36_lifetime_reman_low,strategy,lifetime_multiplier,2050,1.18,,,
r36_lifetime_reman_low,strategy,lifetime_multiplier,2100,1.18,,,
r36_lifetime_reman_low,strategy,recycling_rate,2025,0.6190599999999999,,,
r36_lifetime_reman_low,strategy,recycling_rate,2035,0.67674,,,
r36_lifetime_reman_low,strategy,recycling_rate,2050,0.72,,,
r36_lifetime_reman_low,strategy,recycling_rate,2100,0.72,,,
r36_lifetime_reman_low,strategy,reman_yield,2020,0.8352044626291464,,,
r36_lifetime_reman_low,strategy,reman_yield,2025,0.8366431238404024,,,
r36_lifetime_reman_low,strategy,reman_yield,2035,0.8385613387887438,,,
r36_lifetime_reman_low,strategy,reman_yield,2050,0.84,,,
r36_lifetime_reman_low,strategy,reman_yield,2100,0.84,,,
r36_lifetime_reman_low,strategy,remanufacturing_rate,2025,0.068,,,
r36_lifetime_reman_low,strategy,remanufacturing_rate,2035,0.13199999999999998,,,
r36_lifetime_reman_low,strategy,remanufacturing_rate,2050,0.18,,,
r36_lifetime_reman_low,strategy,remanufacturing_rate,2100,0.18,,,
r36_lifetime_reman_medium,sd_parameters,bottleneck_collection_sensitivity,2020,0.08,,,
r36_lifetime_reman_medium,sd_parameters,bottleneck_collection_sensitivity,2025,0.07100000000000001,,,
r36_lifetime_reman_medium,sd_parameters,bottleneck_collection_sensitivity,2035,0.059000000000000004,,,
r36_lifetime_reman_medium,sd_parameters,bottleneck_collection_sensitivity,2050,0.05,,,
r36_lifetime_reman_medium,sd_parameters,bottleneck_collection_sensitivity,2100,0.05,,,
r36_lifetime_reman_medium,sd_parameters,bottleneck_scarcity_gain,2020,0.15,,,
r36_lifetime_reman_medium,sd_parameters,bottleneck_scarcity_gain,2025,0.135,,,
r36_lifetime_reman_medium,sd_parameters,bottleneck_scarcity_gain,2035,0.115,,,
r36_lifetime_reman_medium,sd_parameters,bottleneck_scarcity_gain,2050,0.1,,,
r36_lifetime_reman_medium,sd_parameters,bottleneck_scarcity_gain,2100,0.1,,,
r36_lifetime_reman_medium,sd_parameters,capacity_expansion_gain,2020,0.26,,,
r36_lifetime_reman_medium,sd_parameters,capacity_expansion_gain,2025,0.281,,,
r36_lifetime_reman_medium,sd_parameters,capacity_expansion_gain,2035,0.309,,,
r36_lifetime_reman_medium,sd_parameters,capacity_expansion_gain,2050,0.33,,,
r36_lifetime_reman_medium,sd_parameters,capacity_expansion_gain,2100,0.33,,,
r36_lifetime_reman_medium,strategy,disposal_rate,2025,0.31294,,,
r36_lifetime_reman_medium,strategy,disposal_rate,2035,0.19125999999999999,,,
r36_lifetime_reman_medium,strategy,disposal_rate,2050,0.1,,,
r36_lifetime_reman_medium,strategy,disposal_rate,2100,0.1,,,
r36_lifetime_reman_medium,strategy,disposal_rate,2025,0.30394,,EU27,
r36_lifetime_reman_medium,strategy,disposal_rate,2035,0.17026000000000002,,EU27,
r36_lifetime_reman_medium,strategy,disposal_rate,2050,0.07,,EU27,
r36_lifetime_reman_medium,strategy,disposal_rate,2100,0.07,,EU27,
r36_lifetime_reman_medium,strategy,disposal_rate,2025,0.31294,,RoW,
r36_lifetime_reman_medium,strategy,disposal_rate,2035,0.19125999999999999,,RoW,
r36_lifetime_reman_medium,strategy,disposal_rate,2050,0.1,,RoW,
r36_lifetime_reman_medium,strategy,disposal_rate,2100,0.1,,RoW,
r36_lifetime_reman_medium,strategy,lifetime_multiplier,2020,1.1526680751302085,,,
r36_lifetime_reman_medium,strategy,lifetime_multiplier,2025,1.178867652591146,,,
r36_lifetime_reman_medium,strategy,lifetime_multiplier,2035,1.2138004225390626,,,
r36_lifetime_reman_medium,strategy,lifetime_multiplier,2050,1.24,,,
r36_lifetime_reman_medium,strategy,lifetime_multiplier,2100,1.24,,,
r36_lifetime_reman_medium,strategy,lifetime_multiplier,2020,1.1526680751302085,,EU27,
r36_lifetime_reman_medium,strategy,lifetime_multiplier,2025,1.187867652591146,,EU27,
r36_lifetime_reman_medium,strategy,lifetime_multiplier,2035,1.2348004225390625,,EU27,
r36_lifetime_reman_medium,strategy,lifetime_multiplier,2050,1.27,,EU27,
r36_lifetime_reman_medium,strategy,lifetime_multiplier,2100,1.27,,EU27,
r36_lifetime_reman_medium,strategy,lifetime_multiplier,2020,1.1526680751302085,,RoW,
r36_lifetime_reman_medium,strategy,lifetime_multiplier,2025,1.172867652591146,,RoW,
r36_lifetime_reman_medium,strategy,lifetime_multiplier,2035,1.1998004225390626,,RoW,
r36_lifetime_reman_medium,strategy,lifetime_multiplier,2050,1.22,,RoW,
r36_lifetime_reman_medium,strategy,lifetime_multiplier,2100,1.22,,RoW,
r36_lifetime_reman_medium,strategy,recycling_rate,2025,0.59506,,,
r36_lifetime_reman_medium,strategy,recycling_rate,2035,0.62074,,,
r36_lifetime_reman_medium,strategy,recycling_rate,2050,0.64,,,
r36_lifetime_reman_medium,strategy,recycling_rate,2100,0.64,,,
r36_lifetime_reman_medium,strategy,recycling_rate,2025,0.59506,,EU27,
r36_lifetime_reman_medium,strategy,recycling_rate,2035,0.62074,,EU27,
r36_lifetime_reman_medium,strategy,recycling_rate,2050,0.64,,EU27,
r36_lifetime_reman_medium,strategy,recycling_rate,2100,0.64,,EU27,
r36_lifetime_reman_medium,strategy,recycling_rate,2025,0.60706,,RoW,
r36_lifetime_reman_medium,strategy,recycling_rate,2035,0.64874,,RoW,
r36_lifetime_reman_medium,strategy,recycling_rate,2050,0.68,,RoW,
r36_lifetime_reman_medium,strategy,recycling_rate,2100,0.68,,RoW,
r36_lifetime_reman_medium,strategy,reman_yield,2020,0.8352044626291464,,,
r36_lifetime_reman_medium,strategy,reman_yield,2025,0.8456431238404025,,,
r36_lifetime_reman_medium,strategy,reman_yield,2035,0.859561338788744,,,
r36_lifetime_reman_medium,strategy,reman_yield,2050,0.87,,,
r36_lifetime_reman_medium,strategy,reman_yield,2100,0.87,,,
r36_lifetime_reman_medium,strategy,reman_yield,2020,0.8352044626291464,,EU27,
r36_lifetime_reman_medium,strategy,reman_yield,2025,0.8426431238404024,,EU27,
r36_lifetime_reman_medium,strategy,reman_yield,2035,0.8525613387887438,,EU27,
r36_lifetime_reman_medium,strategy,reman_yield,2050,0.86,,EU27,
r36_lifetime_reman_medium,strategy,reman_yield,2100,0.86,,EU27,
r36_lifetime_reman_medium,strategy,reman_yield,2020,0.8352044626291464,,RoW,
r36_lifetime_reman_medium,strategy,reman_yield,2025,0.8306431238404024,,RoW,
r36_lifetime_reman_medium,strategy,reman_yield,2035,0.8245613387887438,,RoW,
r36_lifetime_reman_medium,strategy,reman_yield,2050,0.82,,RoW,
r36_lifetime_reman_medium,strategy,reman_yield,2100,0.82,,RoW,
r36_lifetime_reman_medium,strategy,remanufacturing_rate,2025,0.09200000000000001,,,
r36_lifetime_reman_medium,strategy,remanufacturing_rate,2035,0.188,,,
r36_lifetime_reman_medium,strategy,remanufacturing_rate,2050,0.26,,,
r36_lifetime_reman_medium,strategy,remanufacturing_rate,2100,0.26,,,
r36_lifetime_reman_medium,strategy,remanufacturing_rate,2025,0.10099999999999999,,EU27,
r36_lifetime_reman_medium,strategy,remanufacturing_rate,2035,0.20899999999999996,,EU27,
r36_lifetime_reman_medium,strategy,remanufacturing_rate,2050,0.29,,EU27,
r36_lifetime_reman_medium,strategy,remanufacturing_rate,2100,0.29,,EU27,
r36_lifetime_reman_medium,strategy,remanufacturing_rate,2025,0.08,,RoW,
r36_lifetime_reman_medium,strategy,remanufacturing_rate,2035,0.15999999999999998,,RoW,
r36_lifetime_reman_medium,strategy,remanufacturing_rate,2050,0.22,,RoW,
r36_lifetime_reman_medium,strategy,remanufacturing_rate,2100,0.22,,RoW,
