year,material,region,value
1898,tin,RoW,
1898,zinc,EU27,
1898,zinc,China,
1898,zinc,RoW,
1898,nickel,EU27,
1898,nickel,China,
1898,nickel,RoW,
1899,tin,EU27,
1899,tin,China,
1899,tin,RoW,
1899,zinc,EU27,
1899,zinc,China,
1899,zinc,RoW,
1899,nickel,EU27,
1899,nickel,China,
1899,nickel,RoW,
1900,tin,EU27,
1900,tin,China,
1900,tin,RoW,
1900,zinc,EU27,
1900,zinc,China,
1900,zinc,RoW,
1900,nickel,EU27,
1900,nickel,China,
1900,nickel,RoW,
1901,tin,EU27,
1901,tin,China,
1901,tin,RoW,
1901,zinc,EU27,
1901,zinc,China,
1901,zinc,RoW,
1901,nickel,EU27,
1901,nickel,China,
1901,nickel,RoW,
1902,tin,EU27,
1902,tin,China,
1902,tin,RoW,
1902,zinc,EU27,
1902,zinc,China,
1902,zinc,RoW,
1902,nickel,EU27,
1902,nickel,China,
1902,nickel,RoW,
1903,tin,EU27,
1903,tin,China,
1903,tin,RoW,
1903,zinc,EU27,
1903,zinc,China,
1903,zinc,RoW,
1903,nickel,EU27,
1903,nickel,China,
1903,nickel,RoW,
1904,tin,EU27,
1904,tin,China,
1904,tin,RoW,
1904,zinc,EU27,
1904,zinc,China,
1904,zinc,RoW,
1904,nickel,EU27,
1904,nickel,China,
1904,nickel,RoW,
1905,tin,EU27,
1905,tin,China,
1905,tin,RoW,
1905,zinc,EU27,
1905,zinc,China,
1905,zinc,RoW,
1905,nickel,EU27,
1905,nickel,China,
1905,nickel,RoW,
1906,tin,EU27,
1906,tin,China,
1906,tin,RoW,
1906,zinc,EU27,
1906,zinc,China,
1906,zinc,RoW,
1906,nickel,EU27,
1906,nickel,China,
1906,nickel,RoW,
1907,tin,EU27,
1907,tin,China,
1907,tin,RoW,
1907,zinc,EU27,
1907,zinc,China,
1907,zinc,RoW,
1907,nickel,EU27,
1907,nickel,China,
1907,nickel,RoW,
1908,tin,EU27,
1908,tin,China,
1908,tin,RoW,
1908,zinc,EU27,
1908,zinc,China,
1908,zinc,RoW,
1908,nickel,EU27,
1908,nickel,China,
1908,nickel,RoW,
1909,tin,EU27,
1909,tin,China,
1909,tin,RoW,
1909,zinc,EU27,
1909,zinc,China,
1909,zinc,RoW,
1909,nickel,EU27,
1909,nickel,China,
1909,nickel,RoW,
1910,tin,EU27,
1910,tin,China,
1910,tin,RoW,
1910,zinc,EU27,
1910,zinc,China,
1910,zinc,RoW,
1910,nickel,EU27,
1910,nickel,China,
1910,nickel,RoW,
1911,tin,EU27,
1911,tin,China,
1911,tin,RoW,
1911,zinc,EU27,
1911,zinc,China,
1911,zinc,RoW,
1911,nickel,EU27,
1911,nickel,China,
1911,nickel,RoW,
1912,tin,EU27,
1912,tin,China,
1912,tin,RoW,
1912,zinc,EU27,
1912,zinc,China,
1912,zinc,RoW,
1912,nickel,EU27,
1912,nickel,China,
1912,nickel,RoW,
1913,tin,EU27,
1913,tin,China,
1913,tin,RoW,
1913,zinc,EU27,
1913,zinc,China,
1913,zinc,RoW,
1913,nickel,EU27,
1913,nickel,China,
1913,nickel,RoW,
1914,tin,EU27,
1914,tin,China,
1914,tin,RoW,
1914,zinc,EU27,
1914,zinc,China,
1914,zinc,RoW,
1914,nickel,EU27,
1914,nickel,China,
1914,nickel,RoW,
1915,tin,EU27,
1915,tin,China,
1915,tin,RoW,
1915,zinc,EU27,
1915,zinc,China,
1915,zinc,RoW,
1915,nickel,EU27,
1915,nickel,China,
1915,nickel,RoW,
1916,tin,EU27,
1916,tin,China,
1916,tin,RoW,
1916,zinc,EU27,
1916,zinc,China,
1916,zinc,RoW,
1916,nickel,EU27,
1916,nickel,China,
1916,nickel,RoW,
1917,tin,EU27,
1917,tin,China,
1917,tin,RoW,
1917,zinc,EU27,
1917,zinc,China,
1917,zinc,RoW,
1917,nickel,EU27,
1917,nickel,China,
1917,nickel,RoW,
1918,tin,EU27,
1918,tin,China,
1918,tin,RoW,
1918,zinc,EU27,
1918,zinc,China,
1918,zinc,RoW,
1918,nickel,EU27,
1918,nickel,China,
1918,nickel,RoW,
1919,tin,EU27,
1919,tin,China,
1919,tin,RoW,
1919,zinc,EU27,
1919,zinc,China,
1919,zinc,RoW,
1919,nickel,EU27,
1919,nickel,China,
1919,nickel,RoW,
1920,tin,EU27,
1920,tin,China,
1920,tin,RoW,
1920,zinc,EU27,
1920,zinc,China,
