year,material,region,extraction_yield,beneficiation_yield,refining_yield,sorting_yield,extraction_loss_to_sysenv_share,beneficiation_loss_to_sysenv_share,refining_loss_to_sysenv_share,sorting_reject_to_disposal_share,sorting_reject_to_sysenv_share
1975,nickel,RoW,0.0091937723243421,0.8739712077631573,0.9787435683450716,0.99,0.9866137897480284,0.6560153558596495,0.5529188105516428,0.98,0.02
1976,nickel,RoW,0.0091937723243421,0.8844654493157889,0.9784922820140862,0.99,0.9870034447473636,0.6504184270315794,0.5530025726619714,0.98,0.02
1977,nickel,RoW,0.0091937723243421,0.8949596908684203,0.9782409956831004,0.9847558973877972,0.9871406100064684,0.6448214982035092,0.5530863347723,0.98,0.02
1978,nickel,RoW,0.0091491444660221,0.907,0.98,0.9738310172746838,0.987532943699322,0.6384000000000001,0.5525,0.98,0.02
1979,nickel,RoW,0.0091488405790783,0.907,0.98,0.9732295258996064,0.9878282574546926,0.6384000000000001,0.5525,0.98,0.02
1980,nickel,RoW,0.0091485367327044,0.907,0.98,0.9738310172746838,0.988067258779657,0.6384000000000001,0.5525,0.98,0.02
1981,nickel,RoW,0.0091483030323254,0.907,0.98,0.9817692483106306,0.988067258779657,0.6384000000000001,0.5525,0.98,0.02
1982,nickel,RoW,0.0091482095588933,0.907,0.98,0.9738310172746838,0.9879238470651184,0.6384000000000001,0.5525,0.98,0.02
1983,nickel,RoW,0.0091480003282197,0.907,0.98,0.9732295258996064,0.9879773414278722,0.6384000000000001,0.5525,0.98,0.02
1984,nickel,RoW,0.0091474608220933,0.907,0.98,0.96923488894509,0.9880053913559462,0.6384000000000001,0.5525,0.98,0.02
1985,nickel,RoW,0.009146723337031,0.907,0.98,0.96923488894509,0.9880053913559462,0.6384000000000001,0.5525,0.98,0.02
1986,nickel,RoW,0.0091459200805903,0.907,0.98,0.96923488894509,0.9880053913559462,0.6384000000000001,0.5525,0.98,0.02
1987,nickel,RoW,0.0091451830948009,0.907,0.98,0.9762721332346024,0.9880053913559462,0.6384000000000001,0.5525,0.98,0.02
1988,nickel,RoW,0.0091446442563591,0.907,0.98,0.9883316357184432,0.9880053913559462,0.6384000000000001,0.5525,0.98,0.02
1989,nickel,RoW,0.0091446442563591,0.907,0.98,0.99,0.9880230962198652,0.6384000000000001,0.5525,0.98,0.02
1990,nickel,RoW,0.0091446442563591,0.907,0.98,0.99,0.9879232002049424,0.6384000000000001,0.5525,0.98,0.02
1991,nickel,RoW,0.0101105345381599,0.907,0.98,0.9883316357184432,0.9878348316207278,0.6384000000000001,0.5525,0.98,0.02
1992,nickel,RoW,0.0101105345381599,0.907,0.98,0.9865578301513648,0.9848199950528193,0.6384000000000001,0.5525,0.98,0.02
1993,nickel,RoW,0.0101105345381599,0.9035422919006926,0.98,0.9472654539429302,0.984714845660449,0.6402441109862974,0.5525,0.98,0.02
1994,nickel,RoW,0.0110272967519777,0.8977648549100617,0.979957650848513,0.9413596294636188,0.984714845660449,0.6433254107146338,0.5525141163838291,0.98,0.02
1995,nickel,RoW,0.0101105345381599,0.8977648549100617,0.979957650848513,0.9413596294636188,0.9848199950528193,0.6433254107146338,0.5525141163838291,0.98,0.02
1996,nickel,RoW,0.0101105345381599,0.895738753654894,0.9787192016648956,0.9392885037361138,0.9849510138433236,0.6444059980507233,0.5529269327783681,0.98,0.02
1997,nickel,RoW,0.0110272967519777,0.895738753654894,0.9787192016648956,0.9392885037361138,0.9850349719264804,0.6444059980507233,0.5529269327783681,0.98,0.02
1998,nickel,RoW,0.0110272967519777,0.895738753654894,0.9787192016648956,0.9392885037361138,0.9852150328894232,0.6444059980507233,0.5529269327783681,0.98,0.02
1999,nickel,RoW,0.0120424361415013,0.895738753654894,0.9787192016648956,0.9392885037361138,0.9853677635604684,0.6444059980507233,0.5529269327783681,0.98,0.02
2000,nickel,RoW,0.0120424361415013,0.8902357259863033,0.9753171894093248,0.9336631865637768,0.9854736523343264,0.6473409461406383,0.5540609368635585,0.98,0.02
2001,nickel,RoW,0.0120424361415013,0.8896056574422333,0.9749240601340396,0.9330191164965052,0.9856514508342868,0.6476769826974756,0.5541919799553201,0.98,0.02
2002,nickel,RoW,0.010678378130895,0.885265268912987,0.9721953771430848,0.9285822748888312,0.9856514508342868,0.6499918565797403,0.555101540952305,0.98,0.02
2003,nickel,RoW,0.0101105345381599,0.885265268912987,0.9721953771430848,0.9285822748888312,0.9857960385422966,0.6499918565797403,0.555101540952305,0.98,0.02
2004,nickel,RoW,0.0098538888888887,0.8838263835953413,0.9712828059041284,0.9271114143419044,0.9858224737004996,0.6507592620824847,0.5554057313652907,0.98,0.02
2005,nickel,RoW,0.0098538888888887,0.8798485025738544,0.9687389535780292,0.9230451359643844,0.9858224737004996,0.6528807986272778,0.556253682140657,0.98,0.02
2006,nickel,RoW,0.0098538888888887,0.8493879609162426,0.9538987148402388,0.8917543600477147,0.9856425939824044,0.6691264208446707,0.561200428386587,0.98,0.02
2007,nickel,RoW,0.0100952649279253,0.8493879609162426,0.9538987148402388,0.8917543600477147,0.985782977968278,0.6691264208446707,0.561200428386587,0.98,0.02
2008,nickel,RoW,0.0100952649279253,0.8388748067653112,0.9479000767564544,0.8883675802489849,0.9855950036497398,0.6747334363918341,0.5631999744145152,0.98,0.02
2009,nickel,RoW,0.0100952649279253,0.8365741577975351,0.9465785148415232,0.8829491390819248,0.9855510590037916,0.675960449174648,0.5636404950528257,0.98,0.02
2010,nickel,RoW,0.0091858267364539,0.8096253497775358,0.9255196539769164,0.8550948019948144,0.9853755848227996,0.6903331467853143,0.570660115341028,0.98,0.02
2011,nickel,RoW,0.0090914173443847,0.7142865991139322,0.8791921249208297,0.7768040790942418,0.985078966669836,0.7411804804725696,0.5861026250263901,0.98,0.02
2012,nickel,RoW,0.0090914173443847,0.7142865991139322,0.8791921249208297,0.7768040790942418,0.985078966669836,0.7411804804725696,0.5861026250263901,0.98,0.02
2013,nickel,RoW,0.0090914173443847,0.7142865991139322,0.8791921249208297,0.7768040790942418,0.985078966669836,0.7411804804725696,0.5861026250263901,0.98,0.02
2014,nickel,RoW,0.0090944310446223,0.7794413080222248,0.8796161677814673,0.8165733370893854,0.985882603092815,0.7064313023881469,0.5859612774061775,0.98,0.02
2015,nickel,RoW,0.0110272967519777,0.7911118096099584,0.8796161677814673,0.8208365164901799,0.985882603092815,0.7002070348746889,0.5843275937355228,0.98,0.02
2016,nickel,RoW,0.0110272967519777,0.7911118096099584,0.8845172187934318,0.8208365164901799,0.985882603092815,0.7002070348746889,0.5843275937355228,0.98,0.02
2017,nickel,RoW,0.0110272967519777,0.7911118096099584,0.8845172187934318,0.8208365164901799,0.985508995731201,0.7002070348746889,0.5859612774061775,0.98,0.02
2018,nickel,RoW,0.011134997743307,0.8135965012393958,0.9186253156341532,0.8539408679336045,0.985508995731201,0.688215199338989,0.572958228121949,0.98,0.02
2019,nickel,RoW,0.0110272967519777,0.8135965012393958,0.9186253156341532,0.8539408679336045,0.985508995731201,0.688215199338989,0.572958228121949,0.98,0.02
2020,nickel,RoW,0.0110272967519777,0.8094892743431908,0.9179822809889407,0.8511223693285951,0.9913465807005492,0.6904057203502983,0.5731725730036864,0.98,0.02
2021,nickel,RoW,0.0081144684020903,0.8094892743431908,0.9179822809889407,0.8511223693285951,0.9913465807005492,0.6904057203502983,0.5731725730036864,0.98,0.02
2022,nickel,RoW,0.0081144684020903,0.8215,0.929563607542413,0.8661293273085675,0.9913465807005492,0.684,0.5693121308191957,0.98,0.02
2023,nickel,RoW,0.0081144684020903,0.8215,0.9297810573023904,0.8664183596175243,0.9913465807005492,0.684,0.5692396475658699,0.98,0.02
2024,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2025,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2026,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2027,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2028,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2029,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2030,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2031,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2032,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2033,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2034,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2035,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2036,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2037,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2038,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2039,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2040,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2041,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2042,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2043,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2044,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2045,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2046,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2047,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2048,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2049,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2050,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2051,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2052,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2053,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2054,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2055,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2056,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2057,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2058,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2059,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2060,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2061,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2062,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2063,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2064,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2065,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2066,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2067,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2068,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2069,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2070,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2071,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2072,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2073,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2074,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2075,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2076,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2077,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2078,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2079,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2080,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2081,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2082,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2083,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2084,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2085,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2086,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2087,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2088,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2089,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2090,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2091,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2092,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2093,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2094,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2095,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2096,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2097,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2098,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2099,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2100,nickel,RoW,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1870,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1871,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1872,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1873,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1874,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1875,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1876,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1877,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1878,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1879,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1880,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1881,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1882,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1883,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1884,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1885,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1886,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1887,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1888,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1889,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1890,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1891,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1892,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1893,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1894,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1895,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1896,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1897,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1898,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1899,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1900,tin,China,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1901,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1902,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1903,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1904,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1905,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1906,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1907,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1908,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1909,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1910,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1911,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1912,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1913,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1914,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1915,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1916,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1917,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1918,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1919,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1920,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1921,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1922,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1923,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1924,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1925,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1926,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1927,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1928,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1929,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1930,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1931,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1932,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1933,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1934,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1935,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1936,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1937,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1938,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1939,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1940,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1941,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1942,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1943,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1944,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1945,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1946,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1947,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1948,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1949,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1950,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1951,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1952,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1953,tin,China,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
