year,material,region,extraction_yield,beneficiation_yield,refining_yield,sorting_yield,extraction_loss_to_sysenv_share,beneficiation_loss_to_sysenv_share,refining_loss_to_sysenv_share,sorting_reject_to_disposal_share,sorting_reject_to_sysenv_share
1914,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1915,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1916,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1917,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1918,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1919,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1920,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1921,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1922,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1923,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1924,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1925,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1926,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1927,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1928,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1929,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1930,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1931,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1932,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1933,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1934,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1935,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1936,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1937,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1938,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1939,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1940,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1941,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1942,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1943,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1944,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1945,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1946,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1947,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1948,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1949,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1950,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1951,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1952,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1953,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1954,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1955,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1956,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1957,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1958,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1959,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1960,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1961,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1962,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1963,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1964,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1965,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1966,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1967,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1968,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1969,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
1970,nickel,China,0.0078381265589938,0.8593000000000001,0.968,0.99,0.990228105230666,0.684,0.5525,0.98,0.02
1971,nickel,China,0.0078381265589938,0.8215,0.98,0.99,0.990219608379876,0.684,0.5525,0.98,0.02
1972,nickel,China,0.0078381265589938,0.8215,0.98,0.99,0.9901410667069462,0.684,0.5525,0.98,0.02
1973,nickel,China,0.0078471743064125,0.8215,0.98,0.99,0.9901442848634509,0.684,0.5525,0.98,0.02
1974,nickel,China,0.0078560050918646,0.8703571428571429,0.98,0.99,0.990219608379876,0.6579428571428572,0.5525,0.98,0.02
1975,nickel,China,0.0078627107309333,0.8825714285714286,0.98,0.99,0.990219608379876,0.6514285714285715,0.5525,0.98,0.02
1976,nickel,China,0.0078653723494102,0.8947857142857142,0.98,0.99,0.9921203009766364,0.6449142857142858,0.5525,0.98,0.02
1977,nickel,China,0.0078694603660615,0.907,0.98,0.99,0.9921203009766364,0.6384000000000001,0.5525,0.98,0.02
1978,nickel,China,0.0078796990233637,0.907,0.98,0.99,0.9921203009766364,0.6384000000000001,0.5525,0.98,0.02
1979,nickel,China,0.0078930491755166,0.907,0.98,0.99,0.9921069508244832,0.6384000000000001,0.5525,0.98,0.02
1980,nickel,China,0.0079064446413381,0.907,0.98,0.99,0.9920935553586616,0.6384000000000001,0.5525,0.98,0.02
1981,nickel,China,0.0079167798256651,0.907,0.98,0.99,0.9920832201743348,0.6384000000000001,0.5525,0.98,0.02
1982,nickel,China,0.0079209214689517,0.907,0.98,0.9781420765027322,0.9920790785310484,0.6384000000000001,0.5525,0.98,0.02
1983,nickel,China,0.0079276737416487,0.907,0.98,0.9767441860465116,0.9920723262583512,0.6384000000000001,0.5525,0.98,0.02
1984,nickel,China,0.0079451407424322,0.907,0.98,0.9767441860465116,0.9920548592575676,0.6384000000000001,0.5525,0.98,0.02
1985,nickel,China,0.0079691491441064,0.907,0.98,0.9781420765027322,0.9920308508558936,0.6384000000000001,0.5525,0.98,0.02
1986,nickel,China,0.0079954732656002,0.907,0.98,0.99,0.9920045267343996,0.6384000000000001,0.5525,0.98,0.02
1987,nickel,China,0.0080197872830201,0.907,0.98,0.99,0.9920045267343996,0.6384000000000001,0.5525,0.98,0.02
1988,nickel,China,0.008037663006133,0.907,0.98,0.99,0.9919802127169798,0.6384000000000001,0.5525,0.98,0.02
1989,nickel,China,0.0080446158680113,0.907,0.98,0.99,0.9919623369938668,0.6384000000000001,0.5525,0.98,0.02
1990,nickel,China,0.0080644507143425,0.907,0.98,0.99,0.9918855315979096,0.6384000000000001,0.5525,0.98,0.02
1991,nickel,China,0.0080644507143425,0.907,0.98,0.99,0.9918195735007485,0.6384000000000001,0.5525,0.98,0.02
1992,nickel,China,0.0080644507143425,0.907,0.98,0.9695121951219512,0.9917793118271796,0.6384000000000001,0.5525,0.98,0.02
1993,nickel,China,0.0081144684020904,0.907,0.98,0.965311004784689,0.9917793118271796,0.6384000000000001,0.5525,0.98,0.02
1994,nickel,China,0.0081804264992514,0.907,0.98,0.9695121951219512,0.99170021332253,0.6384000000000001,0.5525,0.98,0.02
1995,nickel,China,0.0083209014323693,0.907,0.98,0.965311004784689,0.9916790985676306,0.6384000000000001,0.5525,0.98,0.02
1996,nickel,China,0.0083577473921198,0.907,0.98,0.9645922746781116,0.99164225260788,0.6384000000000001,0.5525,0.98,0.02
1997,nickel,China,0.0084542945176061,0.907,0.98,0.9645922746781116,0.9915457054823938,0.6384000000000001,0.5525,0.98,0.02
1998,nickel,China,0.0084542945176061,0.907,0.98,0.9645922746781116,0.9914100239363444,0.6384000000000001,0.5525,0.98,0.02
1999,nickel,China,0.0084542945176061,0.907,0.98,0.9645922746781116,0.991257146042162,0.6384000000000001,0.5525,0.98,0.02
2000,nickel,China,0.0085899760636554,0.907,0.98,0.9872549019607844,0.9911119648207812,0.6384000000000001,0.5525,0.98,0.02
2001,nickel,China,0.0087428539578379,0.907,0.98,0.9878957169459964,0.9909596020435574,0.6384000000000001,0.5525,0.98,0.02
2002,nickel,China,0.0099745900846158,0.907,0.98,0.9878957169459964,0.990942979750318,0.6384000000000001,0.5525,0.98,0.02
2003,nickel,China,0.0099761007930869,0.907,0.98,0.9878957169459964,0.9909144885164288,0.6384000000000001,0.5525,0.98,0.02
2004,nickel,China,0.0099879620980913,0.907,0.98,0.99,0.9909011553570432,0.6384000000000001,0.5525,0.98,0.02
2005,nickel,China,0.0138240960621901,0.907,0.98,0.99,0.990846202667111,0.6384000000000001,0.5525,0.98,0.02
2006,nickel,China,0.0138240960621901,0.907,0.98,0.99,0.9907905821677564,0.6384000000000001,0.5525,0.98,0.02
2007,nickel,China,0.0138240960621901,0.907,0.98,0.99,0.990747335059426,0.6384000000000001,0.5525,0.98,0.02
2008,nickel,China,0.0130377020178323,0.907,0.98,0.99,0.9907299222733856,0.6384000000000001,0.5525,0.98,0.02
2009,nickel,China,0.0126391977596525,0.907,0.98,0.99,0.9907185118975174,0.6384000000000001,0.5525,0.98,0.02
2010,nickel,China,0.0123119350742303,0.907,0.98,0.99,0.9906898626862406,0.6384000000000001,0.5525,0.98,0.02
2011,nickel,China,0.0126391977596525,0.907,0.98,0.99,0.990652353235668,0.6384000000000001,0.5525,0.98,0.02
2012,nickel,China,0.0130377020178323,0.907,0.98,0.99,0.990652353235668,0.6384000000000001,0.5525,0.98,0.02
2013,nickel,China,0.0131977732224166,0.907,0.98,0.99,0.9906145403201224,0.6384000000000001,0.5525,0.98,0.02
2014,nickel,China,0.0134049943277618,0.907,0.98,0.99,0.9905637308728892,0.6384000000000001,0.5525,0.98,0.02
2015,nickel,China,0.0134049943277618,0.907,0.98,0.99,0.9905398676642648,0.6384000000000001,0.5525,0.98,0.02
2016,nickel,China,0.0131977732224166,0.907,0.98,0.99,0.9905637308728892,0.6384000000000001,0.5525,0.98,0.02
2017,nickel,China,0.0124407416778945,0.907,0.98,0.99,0.9905398676642648,0.6384000000000001,0.5525,0.98,0.02
2018,nickel,China,0.0105289973801963,0.907,0.98,0.99,0.9905398676642648,0.6384000000000001,0.5525,0.98,0.02
2019,nickel,China,0.0095740580543154,0.907,0.98,0.99,0.9912831374647542,0.6384000000000001,0.5525,0.98,0.02
2020,nickel,China,0.009207649551447,0.907,0.98,0.99,0.9913465807005492,0.6384000000000001,0.5525,0.98,0.02
2021,nickel,China,0.0081144684020903,0.907,0.98,0.99,0.9913465807005492,0.6384000000000001,0.5525,0.98,0.02
2022,nickel,China,0.0081144684020903,0.907,0.98,0.99,0.9913465807005492,0.6384000000000001,0.5525,0.98,0.02
2023,nickel,China,0.0081144684020903,0.907,0.98,0.99,0.9913465807005492,0.6384000000000001,0.5525,0.98,0.02
2024,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2025,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2026,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2027,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2028,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2029,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2030,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2031,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2032,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2033,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2034,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2035,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2036,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2037,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2038,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2039,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2040,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2041,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2042,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2043,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2044,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2045,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2046,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2047,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2048,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2049,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2050,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2051,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2052,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2053,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2054,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2055,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2056,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2057,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
