year,material,region,value
1926,nickel,RoW,23196.74797
1927,nickel,China,18387.45862
1927,nickel,EU27,20014.59418
1927,nickel,RoW,24143.55401
1928,nickel,China,19137.96713
1928,nickel,EU27,20831.51639
1928,nickel,RoW,25129.00519
1929,nickel,China,19919.10865
1929,nickel,EU27,21681.78236
1929,nickel,RoW,26154.67888
1930,nickel,China,20732.13349
1930,nickel,EU27,22566.75307
1930,nickel,RoW,27222.21679
1931,nickel,China,21578.34302
1931,nickel,EU27,23487.84503
1931,nickel,RoW,28333.32768
1932,nickel,China,22459.09171
1932,nickel,EU27,24446.53259
1932,nickel,RoW,29489.79003
1933,nickel,China,23375.78933
1933,nickel,EU27,25444.35024
1933,nickel,RoW,30693.45493
1934,nickel,China,24329.90318
1934,nickel,EU27,26482.89515
1934,nickel,RoW,31946.24901
1935,nickel,China,25322.96046
1935,nickel,EU27,27563.82965
1935,nickel,RoW,33250.17754
1936,nickel,China,26356.55068
1936,nickel,EU27,28688.88392
1936,nickel,RoW,34607.32765
1937,nickel,China,27432.32826
1937,nickel,EU27,29859.85877
1937,nickel,RoW,36019.87163
1938,nickel,China,28552.01513
1938,nickel,EU27,31078.62852
1938,nickel,RoW,37490.07047
1939,nickel,China,29717.4035
1939,nickel,EU27,32347.14397
1939,nickel,RoW,39020.27743
1940,nickel,China,30930.35874
1940,nickel,EU27,33667.43556
1940,nickel,RoW,40612.94182
1941,nickel,China,32192.82237
1941,nickel,EU27,35041.6166
1941,nickel,RoW,42270.61291
1942,nickel,China,33506.81512
1942,nickel,EU27,36471.88667
1942,nickel,RoW,43995.94405
1943,nickel,China,34874.44022
1943,nickel,EU27,37960.5351
1943,nickel,RoW,45791.69687
1944,nickel,China,36297.88676
1944,nickel,EU27,39509.9447
1944,nickel,RoW,47660.74572
1945,nickel,China,37779.43316
1945,nickel,EU27,41122.5955
1945,nickel,RoW,49606.08228
1946,nickel,China,39321.45084
1946,nickel,EU27,42801.06879
1946,nickel,RoW,51630.82033
1947,nickel,China,40926.40802
1947,nickel,EU27,44548.05119
1947,nickel,RoW,53738.20076
1948,nickel,China,42596.87365
1948,nickel,EU27,46366.33899
1948,nickel,RoW,55931.5967
1949,nickel,China,44335.52156
1949,nickel,EU27,48258.84262
1949,nickel,RoW,58214.51902
1950,nickel,China,46145.13468
1950,nickel,EU27,50228.5913
1950,nickel,RoW,60590.62184
1951,nickel,China,48028.60956
1951,nickel,EU27,52278.73789
1951,nickel,RoW,63063.70844
1952,nickel,China,49988.96098
1952,nickel,EU27,54412.56392
1952,nickel,RoW,65637.73736
1953,nickel,China,52029.32673
1953,nickel,EU27,56633.4849
1953,nickel,RoW,68316.82868
1954,nickel,China,54152.97272
1954,nickel,EU27,58945.05571
1954,nickel,RoW,71105.27067
1955,nickel,China,56363.29814
1955,nickel,EU27,61350.97635
1955,nickel,RoW,74007.52661
1956,nickel,China,58663.84092
1956,nickel,EU27,63855.09784
1956,nickel,RoW,77028.24198
1957,nickel,China,61058.2834
1957,nickel,EU27,66461.42836
1957,nickel,RoW,80172.25186
1958,nickel,China,63550.45824
1958,nickel,EU27,69174.13972
1958,nickel,RoW,83444.58867
1959,nickel,China,66144.35449
1959,nickel,EU27,71997.57399
1959,nickel,RoW,86850.49025
1960,nickel,China,68844.12406
1960,nickel,EU27,74936.25048
1960,nickel,RoW,90395.40822
1961,nickel,China,71654.08831
1961,nickel,EU27,77994.87295
1961,nickel,RoW,94085.01672
1962,nickel,China,74578.74497
1962,nickel,EU27,81178.33716
1962,nickel,RoW,97925.22148
1963,nickel,China,77622.77538
1963,nickel,EU27,84491.73867
1963,nickel,RoW,101922.1693
1964,nickel,China,80791.05193
1964,nickel,EU27,87940.38107
1964,nickel,RoW,106082.2578
1965,nickel,China,84088.64588
1965,nickel,EU27,91529.78438
1965,nickel,RoW,110412.1459
1966,nickel,China,87520.83551
