year,material,region,value
1891,tin,RoW,11.63024287
1891,zinc,China,-1230.128631
1935,nickel,EU27,222.6608659
1891,zinc,RoW,242.735962
1892,nickel,China,-5.088428931
1936,nickel,EU27,222.6608659
1892,nickel,RoW,-217.572437
1892,tin,China,-64.39403872
1937,nickel,EU27,222.6608659
1892,tin,RoW,11.54628239
1892,zinc,China,-1243.562879
1938,nickel,EU27,222.6608659
1892,zinc,RoW,255.7876416
1893,nickel,China,-5.088428931
1939,nickel,EU27,222.6608659
1893,nickel,RoW,-217.572437
1893,tin,China,-64.39403872
1940,nickel,EU27,222.6608659
1893,tin,RoW,11.46047835
1893,zinc,China,-1257.11824
1941,nickel,EU27,222.6608659
1893,zinc,RoW,268.9482293
1894,nickel,China,-5.088428931
1942,nickel,EU27,222.6608659
1894,nickel,RoW,-217.572437
1894,tin,China,-64.39403872
1943,nickel,EU27,222.6608659
1894,tin,RoW,11.37279289
1894,zinc,China,-1270.792318
1944,nickel,EU27,222.6608659
1894,zinc,RoW,282.2149374
1895,nickel,China,-5.088428931
1945,nickel,EU27,222.6608659
1895,nickel,RoW,-217.572437
1895,tin,China,-64.39403872
1946,nickel,EU27,222.6608659
1895,tin,RoW,11.28318756
1895,zinc,China,-1284.582472
1947,nickel,EU27,222.6608659
1895,zinc,RoW,295.5847214
1896,nickel,China,-5.088428931
1948,nickel,EU27,222.6608659
1896,nickel,RoW,-217.572437
1896,tin,China,-64.39403872
1949,nickel,EU27,222.6608659
1896,tin,RoW,11.19162336
1896,zinc,China,-1298.485804
1950,nickel,EU27,222.6608659
1896,zinc,RoW,309.0542665
1897,nickel,China,-5.088428931
1951,nickel,EU27,222.6608659
1897,nickel,RoW,-217.572437
1897,tin,China,-64.39403872
1952,nickel,EU27,222.6608659
1897,tin,RoW,11.09806068
1897,zinc,China,-1312.499146
1953,nickel,EU27,222.6608659
1897,zinc,RoW,322.6199725
1898,nickel,China,-5.088428931
1954,nickel,EU27,222.6608659
1898,nickel,RoW,-217.572437
1898,tin,China,-64.39403872
1955,nickel,EU27,222.6608659
1898,tin,RoW,11.00245937
1898,zinc,China,-1326.61904
1956,nickel,EU27,222.6608659
1898,zinc,RoW,336.2779386
1899,nickel,China,-5.088428931
1957,nickel,EU27,222.6608659
1899,nickel,RoW,-217.572437
1899,tin,China,-64.39403872
1958,nickel,EU27,222.6608659
1899,tin,RoW,10.90477869
1899,zinc,China,-1340.841729
1959,nickel,EU27,222.6608659
1899,zinc,RoW,350.0239476
1900,nickel,China,-5.088428931
1960,nickel,EU27,222.6608659
1900,nickel,RoW,-217.572437
1900,tin,China,-64.39403872
1961,nickel,EU27,222.6608659
1900,tin,RoW,10.80497739
1900,zinc,China,-1355.163137
1962,nickel,EU27,222.6608659
1900,zinc,RoW,363.8534488
1901,nickel,China,-5.088428931
1963,nickel,EU27,222.6608659
1901,nickel,RoW,-217.572437
1901,tin,China,-64.39403872
1964,nickel,EU27,222.6608659
1901,tin,RoW,10.70301366
1901,zinc,China,-1369.578851
1965,nickel,EU27,222.6608659
1901,zinc,RoW,377.7615412
1902,nickel,China,-5.088428931
1966,nickel,EU27,222.6608659
1902,nickel,RoW,-217.572437
1902,tin,China,-64.39403872
1967,nickel,EU27,222.6608659
1902,tin,RoW,10.59884519
1902,zinc,China,-1384.084107
1968,nickel,EU27,222.6608659
1902,zinc,RoW,391.742955
1903,nickel,China,-5.088428931
1969,nickel,EU27,222.6608659
1903,nickel,RoW,-217.572437
1903,tin,China,-64.39403872
1970,nickel,EU27,222.6608659
1903,tin,RoW,10.49242918
1903,zinc,China,-1398.673771
1971,nickel,EU27,222.6608659
1903,zinc,RoW,405.7920331
1904,nickel,China,-5.088428931
1972,nickel,EU27,222.6608659
1904,nickel,RoW,-217.572437
1904,tin,China,-64.39403872
1973,nickel,EU27,222.6608659
1904,tin,RoW,10.38372232
1904,zinc,China,-1413.342317
1974,nickel,EU27,222.6608659
1904,zinc,RoW,419.9027117
1905,nickel,China,-5.088428931
1975,nickel,EU27,222.6608659
1905,nickel,RoW,-217.572437
1905,tin,China,-64.39403872
1976,nickel,EU27,222.6608659
1905,tin,RoW,10.27268088
1905,zinc,China,-1428.08381
1977,nickel,EU27,222.6608659
1905,zinc,RoW,434.0684999
1906,nickel,China,-5.088428931
1978,nickel,EU27,222.6608659
1906,nickel,RoW,-217.572437
1906,tin,China,-64.39403872
1979,nickel,EU27,222.6608659
1906,tin,RoW,10.15926067
1906,zinc,China,-1442.891887
1980,nickel,EU27,222.6608659
1906,zinc,RoW,448.282459
1907,nickel,China,-5.088428931
1981,nickel,EU27,222.6608659
1907,nickel,RoW,-217.572437
1907,tin,China,-64.39403872
1982,nickel,EU27,222.6608659
